version_number,tool_id,tool_name,trusted,released_at,major_version_number,commit_url,source_url,release_source,no_of_stacks,lts,eol_info,support_info,tool_version_External_Factors_Freshness_Distance_from_latest_version,tool_version_External_Factors_Last_commit_date_of_the_package,tool_version_External_Factors_Security_Vulnerabilities,star_count,forks_count,watch_count,release_count,last_release_date,contributor_count,license,activiy,Dependent_count,Repo_Count_For_A_Tools,Repo_Count_For_A_Tools_Current_Version,Repo_Count_For_A_Tools_Version_wise,score
1.19.3,5577,nodemon,TRUE,2019-09-29 10:07:25 UTC,1,https://github.com/remy/nodemon/commit/eead311749357d4809c0c8ba353e31376f2ea776,https://libraries.io/npm/nodemon/1.19.3,github,3,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,3,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.19.2,5577,nodemon,TRUE,2019-09-03 11:01:13 UTC,1,https://github.com/remy/nodemon/commit/12b66cd492b4b06ffc91da57eca4794c25f05632,https://libraries.io/npm/nodemon/1.19.2,github,3,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,3,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.19.1,5577,nodemon,TRUE,2019-05-25 18:30:46 UTC,1,https://github.com/remy/nodemon/commit/5124ae9528da8b19ce25c1945d1e62c35f20e861,https://libraries.io/npm/nodemon/1.19.1,github,14,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,14,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.19.0,5577,nodemon,TRUE,2019-05-01 07:10:04 UTC,1,https://github.com/remy/nodemon/commit/20ccb623c4dbdbc9445085ba72ca7ab90f5bffcb,https://libraries.io/npm/nodemon/1.19.0,github,3,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,3,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.18.9,5577,nodemon,TRUE,2018-12-14 17:47:27 UTC,1,https://github.com/remy/nodemon/commit/dd0b96a9438f9c068c85f4ed88a5dc6709577855,https://libraries.io/npm/nodemon/1.18.9,github,5,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,5,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.18.8,5577,nodemon,TRUE,2018-12-10 21:05:48 UTC,1,https://github.com/remy/nodemon/commit/3dfd5ccf5aceedee9b34cf3320e646ad46708174,https://libraries.io/npm/nodemon/1.18.8,github,0,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,0,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.18.7,5577,nodemon,TRUE,2018-11-27 08:49:05 UTC,1,https://github.com/remy/nodemon/commit/21e052eddf144b27a7c0eb9c603236707003d75d,https://libraries.io/npm/nodemon/1.18.7,github,0,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,0,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.18.6,5577,nodemon,TRUE,2018-11-05 11:27:49 UTC,1,https://github.com/remy/nodemon/commit/521eb1e49d9a6556853ae468ec071deea749076a,https://libraries.io/npm/nodemon/1.18.6,github,3,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,3,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.18.5,5577,nodemon,TRUE,2018-10-26 10:47:46 UTC,1,https://github.com/remy/nodemon/commit/3afa52c56d31f9df93f79c53c9bc1ea4788b421e,https://libraries.io/npm/nodemon/1.18.5,github,1,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,1,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.18.4,5577,nodemon,TRUE,2018-08-29 17:51:42 UTC,1,https://github.com/remy/nodemon/commit/e7d9e87955ec851b3a85f3e8a0d988b5ddacf032,https://libraries.io/npm/nodemon/1.18.4,github,6,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,6,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.18.3,5577,nodemon,TRUE,2018-07-17 18:27:39 UTC,1,https://github.com/remy/nodemon/commit/11ef2983035d8fa0821e82538c8a68c0070a1648,https://libraries.io/npm/nodemon/1.18.3,github,6,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,6,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.18.2,5577,nodemon,TRUE,2018-07-13 19:35:49 UTC,1,https://github.com/remy/nodemon/commit/363891ff3d9bb71f27b303a40947334645bd3979,https://libraries.io/npm/nodemon/1.18.2,github,1,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,1,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
1.18.11,5577,nodemon,TRUE,2019-04-08 21:05:01 UTC,1,https://github.com/remy/nodemon/commit/aa41ab2124679306000351bef3e9a4366636f72a,https://libraries.io/npm/nodemon/1.18.11,github,2,,,,3,5,3,5,5,5,3,2023-07-09T11:01:23.703Z,5,5,5,939,189,2,"[{""version"": ""2.0.4"", ""no"": 32}, {""version"": ""1.18.11"", ""no"": 2}, {""version"": ""1.18.10"", ""no"": 6}, {""version"": ""1.19.4"", ""no"": 15}, {""version"": ""2.0.2"", ""no"": 37}, {""version"": ""1.18.9"", ""no"": 5}, {""version"": ""1.19.3"", ""no"": 3}, {""version"": ""2.0.3"", ""no"": 8}, {""version"": ""1.17.5"", ""no"": 6}, {""version"": ""1.19.1"", ""no"": 14}, {""version"": ""1.17.3"", ""no"": 5}, {""version"": ""1.19.2"", ""no"": 3}, {""version"": ""2.0.1"", ""no"": 0}, {""version"": ""1.11.0"", ""no"": 18}, {""version"": ""1.19.0"", ""no"": 3}, {""version"": ""1.9.1"", ""no"": 1}, {""version"": ""1.15.1"", ""no"": 0}, {""version"": ""1.18.3"", ""no"": 6}, {""version"": ""1.12.1"", ""no"": 3}, {""version"": ""1.14.11"", ""no"": 1}, {""version"": ""1.4.0"", ""no"": 0}, {""version"": ""1.10.0"", ""no"": 2}, {""version"": ""1.3.7"", ""no"": 1}, {""version"": ""1.18.6"", ""no"": 3}, {""version"": ""1.17.4"", ""no"": 4}, {""version"": ""1.14.7"", ""no"": 0}, {""version"": ""1.14.12"", ""no"": 1}, {""version"": ""1.18.4"", ""no"": 6}, {""version"": ""1.17.2"", ""no"": 0}, {""version"": ""1.18.7"", ""no"": 0}, {""version"": ""1.13.3"", ""no"": 1}, {""version"": ""1.2.1"", ""no"": 1}, {""version"": ""1.18.5"", ""no"": 1}, {""version"": ""1.18.2"", ""no"": 1}, {""version"": ""1.12.0"", ""no"": 0}, {""version"": ""1.18.8"", ""no"": 0}]",0
